Comuna,num_estaciones,num_combinaciones,lineas_presentes
Cerrillos,1,0,"L6"
Conchalí,3,0,"L3"
El Bosque,2,0,"L2"
Estación Central,4,0,"L1"
Independencia,2,0,"L3"
La Cisterna,3,2,"L2, L4A"
La Florida,11,3,"L4, L4A, L5"
La Granja,1,0,"L4A"
La Reina,3,0,"L3, L4"
Las Condes,7,0,"L1"
Lo Prado,5,1,"L1, L5"
Maipú,5,0,"L5"
Ñuñoa,9,4,"L3, L5, L6"
Pedro Aguirre Cerda,2,0,"L6"
Peñalolén,6,0,"L4"
Providencia,13,5,"L1, L4, L5, L6"
Pudahuel,3,0,"L5"
Puente Alto,5,0,"L4"
Quilicura,4,0,"L3"
Quinta Normal,3,0,"L5"
Recoleta,7,0,"L2"
San Bernardo,1,0,"L2"
San Joaquín,6,0,"L5"
San Miguel,5,0,"L2"
San Ramón,2,0,"L4A"
Santiago,26,10,"L1, L2, L3, L5, L6"
